time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449100000	18.966	16.8891	4.82723	2.15781	0.580729	lidar	0.200199	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8087	17.0815	4.8329	2.20723	0.614655	radar	6.38751	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6551	17.2862	4.84283	2.23805	0.613622	lidar	0.557617	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5408	17.4934	4.83722	2.23874	0.567911	radar	6.08477	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3413	17.6631	4.8415	2.28306	0.581428	lidar	3.66715	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2001	17.8547	4.83755	2.29446	0.553293	radar	2.93417	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0646	18.037	4.82994	2.31434	0.547297	lidar	1.11062	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.8866	18.1976	4.8273	2.35176	0.561454	radar	1.89591	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7414	18.3502	4.80763	2.37615	0.56031	lidar	2.20564	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6003	18.5362	4.80432	2.38629	0.538999	radar	7.07874	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4175	18.6986	4.8068	2.41461	0.539946	lidar	0.0582799	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2323	18.8459	4.80333	2.44567	0.54521	radar	1.86544	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.0636	18.9846	4.78885	2.47158	0.545463	lidar	1.13556	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.8947	19.1541	4.79006	2.48468	0.52776	radar	3.12873	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.681	19.2632	4.78273	2.52402	0.539845	lidar	2.92804	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.493	19.4141	4.78613	2.54554	0.534759	radar	2.97739	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.2859	19.5546	4.79405	2.57171	0.533505	lidar	0.335782	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0595	19.6445	4.78955	2.61551	0.553087	radar	10.1127	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8625	19.7779	4.79101	2.63677	0.54733	lidar	0.646852	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6668	19.9049	4.78484	2.64766	0.521199	radar	3.76686	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4542	20.0391	4.7955	2.66766	0.514881	lidar	1.09953	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2508	20.1741	4.79974	2.67994	0.497932	radar	5.92464	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.059	20.3036	4.79672	2.69374	0.488442	lidar	2.0192	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8312	20.3876	4.79621	2.72573	0.496489	radar	1.92305	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6196	20.5011	4.79868	2.74375	0.490297	lidar	0.72486	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3905	20.5859	4.80216	2.77433	0.499653	radar	1.11832	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1501	20.6566	4.80668	2.80527	0.504515	lidar	0.713257	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.9185	20.7265	4.8083	2.83642	0.513904	radar	0.345943	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6599	20.783	4.82137	2.86977	0.519559	lidar	2.04874	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.4168	20.8147	4.82253	2.9152	0.548004	radar	2.63651	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1717	20.8595	4.82658	2.94559	0.550294	lidar	0.260373	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9418	20.9152	4.82579	2.96925	0.547751	radar	1.69247	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7248	20.9708	4.81695	2.98906	0.541833	lidar	1.53	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.481	21.0062	4.82219	3.01824	0.545969	radar	2.78044	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2374	21.0449	4.82781	3.04206	0.54239	lidar	0.272872	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9997	21.0639	4.82753	3.07286	0.549815	radar	1.04129	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7498	21.0429	4.82654	3.11192	0.560163	lidar	1.91084	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.5039	21.0286	4.82745	3.14795	0.56953	radar	1.21235	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2744	21.0306	4.82073	3.17354	0.567583	lidar	0.471293	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0238	20.9908	4.82444	3.21363	0.579962	radar	4.3901	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7966	20.962	4.81457	3.24484	0.582861	lidar	0.511164	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5513	20.9562	4.81613	3.25918	0.560315	radar	5.19637	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2945	20.9739	4.83303	3.27099	0.544183	lidar	3.55024	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0571	20.9538	4.83243	3.29268	0.538418	radar	0.980105	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.83888	20.9224	4.81899	3.31694	0.537257	lidar	1.40888	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.60126	20.9112	4.8143	3.32308	0.507815	radar	2.60818	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.38586	20.8633	4.79994	3.34939	0.509905	lidar	1.19252	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.15641	20.8247	4.79628	3.36965	0.504701	radar	1.57373	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.89557	20.782	4.81555	3.38908	0.497854	lidar	1.97954	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.67113	20.7068	4.8104	3.41893	0.502902	radar	4.39668	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.41797	20.6176	4.82717	3.44983	0.506723	lidar	2.80795	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.19021	20.5382	4.82723	3.47722	0.509627	radar	0.0522205	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.9539	20.4572	4.83373	3.50163	0.50814	lidar	0.235754	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.73584	20.3727	4.83193	3.53064	0.5166	radar	3.37966	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.46693	20.3088	4.86044	3.54249	0.501647	lidar	4.66696	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.2426	20.2097	4.86111	3.56686	0.4997	radar	0.270809	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.99235	20.1278	4.87854	3.58195	0.489329	lidar	1.83367	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.77227	20.033	4.87571	3.60064	0.482137	radar	0.394891	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.52905	19.9444	4.88934	3.61464	0.471893	lidar	1.31307	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.31453	19.8485	4.88465	3.63248	0.466834	radar	2.5652	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	6.06316	19.7579	4.90398	3.64247	0.453235	lidar	2.47109	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.85111	19.613	4.91267	3.67856	0.471064	radar	2.41469	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.64453	19.4976	4.90779	3.6985	0.468125	lidar	0.415093	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.44661	19.3481	4.90781	3.73029	0.477698	radar	1.55889	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.22243	19.2506	4.91109	3.73811	0.462784	lidar	2.10615	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	5.02212	19.1348	4.89999	3.74969	0.448071	radar	4.08491	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.83361	18.9875	4.89458	3.77546	0.451544	lidar	0.179533	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.63409	18.8383	4.90024	3.80078	0.456916	radar	1.67569	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
1477010452500000	4.43864	18.7083	4.89549	3.81637	0.450574	lidar	0.86051	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422
1477010452550000	4.24823	18.564	4.88889	3.83131	0.439152	radar	1.30155	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888
1477010452600000	4.08959	18.4073	4.87149	3.8584	0.44508	lidar	1.79184	4.26269	18.481	4.03876	18.4071	-3.88293	-3.19362
